,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,N° SALAS DE PARTOS,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIÓN,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,PACIENTE DIA <=24 HORAS,PACIENTE DIA > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MENORES 1 AÑO TERCERA DOSIS PENTAVALENTE,MAMOGRAFIAS PREVENTIVAS 40 A 65 (RESULTA,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,CRED NIÑOS,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-01,46,46,1,0,1,1,12,12,3,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54119,0,0,0,0,2851,256,0,0,0,0,0,0,0,67,45,72,0,42,2,2,0,0,0,0,23,0,0,14,54,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-02,0,0,0,0,1,1,12,12,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33972,0,0,0,0,5375,244,0,0,0,0,0,0,0,66,45,71,0,63,5,2,0,0,0,0,27,0,0,21,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-03,1,1,1,0,1,1,12,12,3,1,45,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61913,0,0,0,0,5370,209,0,0,0,0,0,0,0,66,45,73,0,63,6,2,0,0,0,0,26,0,0,21,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-04,0,0,0,0,1,1,12,12,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54529,0,0,0,0,5248,248,0,0,0,0,0,0,0,66,44,72,0,62,5,2,0,0,0,0,22,0,0,21,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-05,0,0,0,0,1,1,12,12,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26438,0,0,0,0,5734,281,0,0,0,0,0,0,0,66,45,64,0,62,2,2,0,0,0,0,29,0,0,21,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-06,3,3,2,0,1,1,12,12,3,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19923,0,0,0,0,5731,249,0,0,0,0,0,0,0,66,45,80,0,32,1,2,0,0,0,0,18,0,0,10,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-07,0,0,0,0,1,1,12,12,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53897,0,0,0,0,5802,224,0,0,0,0,0,0,0,66,40,72,0,60,0,2,0,0,0,0,3,0,0,21,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-08,0,0,0,0,1,1,12,12,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47904,0,0,0,0,5344,223,0,0,0,0,0,0,0,66,43,72,0,35,3,2,0,0,0,0,23,0,0,14,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-09,0,0,0,0,1,1,12,12,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33480,0,0,0,0,5948,176,0,0,0,0,0,0,0,66,43,72,0,62,2,2,0,0,0,0,27,0,0,19,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2014-10,0,0,0,0,1,1,12,12,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31238,0,0,0,0,5633,223,0,0,0,0,0,0,0,66,43,72,0,52,4,2,0,0,0,0,24,0,0,20,57,0,0,0,0
