,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CONSULTAS MEDICINA COMPLEMENTARIA,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,N° SALAS DE PARTOS,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIÓN,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,EGRESO PACIENTE <=24 HORAS,EGRESO PACIENTE > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MENORES 1 AÑO TERCERA DOSIS PENTAVALENTE,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,CRED NIÑOS,MAMOGRAFIAS PREVENTIVAS 50 A 74 (RESULTA,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-01,44,44,0,0,1,1,12,12,3,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25460,0,0,0,0,5605,229,0,0,0,0,0,0,0,66,44,72,0,46,3,2,0,0,0,0,22,0,0,17,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-02,0,0,0,0,1,1,12,12,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19486,0,0,0,0,5335,211,0,0,0,0,0,0,0,66,42,72,0,45,5,2,0,0,0,0,25,0,0,21,51,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-03,2,2,1,0,1,1,12,12,2,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55265,0,0,0,0,5088,210,0,0,0,0,0,0,0,66,44,73,0,42,4,2,0,0,0,0,23,0,0,19,52,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-04,1,1,1,0,1,1,12,12,2,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54149,0,0,0,0,5324,209,0,0,0,0,0,0,0,66,42,71,0,57,4,2,0,0,0,0,25,0,0,21,54,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-05,0,0,0,0,2,1,12,12,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21870,0,0,0,0,4311,233,0,0,0,0,0,0,0,66,42,72,0,43,3,2,0,0,0,0,24,0,0,20,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-06,1,1,0,0,1,1,12,13,3,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21345,0,0,0,0,4741,223,0,0,0,0,0,0,0,66,43,73,0,63,4,2,0,0,0,0,23,0,0,21,54,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-07,0,0,0,0,1,1,12,12,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47910,0,0,0,0,4947,230,0,0,0,0,0,0,0,66,43,72,0,60,5,2,0,0,0,0,18,0,0,11,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-08,1,1,1,0,1,1,12,12,3,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55735,0,0,0,0,4915,238,0,0,0,0,0,0,0,66,43,72,0,42,4,3,0,0,0,0,22,0,0,14,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-09,2,2,2,0,1,1,12,12,3,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33184,0,0,0,0,3644,227,0,0,0,0,0,0,0,66,45,72,0,42,6,2,0,0,0,0,22,0,0,14,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2015-10,1,1,1,0,1,1,12,12,3,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27838,0,0,0,0,3377,224,0,0,0,0,0,0,0,66,46,73,0,42,6,2,0,0,0,0,23,0,0,18,56,0,0,0,0
