,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIËN,N░ SALAS DE PARTOS,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,EGRESO PACIENTE <=24 HORAS,EGRESO PACIENTE > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,MAMOGRAFIAS PREVENTIVAS 50 A 74 (RESULTA,CRED NIÐOS,MENORES 1 AÐO TERCERA DOSIS PENTAVALENTE,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-01,46,46,0,0,1,1,12,12,2,46,46,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43866,0,0,0,0,4284,264,0,0,0,0,0,0,0,66,45,73,0,63,3,2,0,0,0,0,24,0,0,23,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-02,1,1,1,0,1,1,12,12,3,1,46,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53143,0,0,0,0,4467,233,0,0,0,0,0,0,0,66,47,72,0,64,3,2,0,0,0,0,25,0,0,23,54,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-03,1,1,1,0,1,1,12,12,3,1,45,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63293,0,0,0,0,3693,218,0,0,0,0,0,0,0,66,45,72,0,42,3,2,0,0,0,0,22,0,0,15,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-04,0,0,0,0,1,1,12,12,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48546,0,0,0,0,4825,244,0,0,0,0,0,0,0,66,46,72,0,63,5,2,0,0,0,0,30,0,0,21,58,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-05,0,0,0,0,1,1,12,12,2,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63151,0,0,0,0,5489,257,0,0,0,0,0,0,0,66,46,74,0,57,4,2,0,0,0,0,24,0,0,20,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-06,0,0,0,0,1,1,12,12,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63686,0,0,0,0,4833,245,0,0,0,0,0,0,0,66,47,72,0,63,4,2,0,0,0,0,24,0,0,21,57,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-07,0,0,0,0,1,1,13,13,4,0,46,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41752,0,0,0,0,5709,266,0,0,0,0,0,0,0,66,46,71,0,64,6,2,0,0,0,0,26,0,0,18,56,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-08,2,2,2,0,1,1,13,13,3,2,51,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68032,0,0,0,0,5338,279,0,0,0,0,0,0,0,66,49,72,0,51,6,2,0,0,0,0,26,0,0,14,58,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-09,0,0,0,0,1,1,12,12,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69386,0,0,0,0,4931,271,0,0,0,0,0,0,0,67,49,72,0,75,6,2,0,0,0,0,26,0,0,18,59,0,0,0,0
C.E. CENTRO NACIONAL DE SALUD RENAL _per_2016-10,10,10,9,0,1,1,15,15,3,10,57,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50956,0,0,0,0,4994,267,0,0,0,0,0,0,0,66,49,72,0,54,4,2,0,0,0,0,27,0,0,21,56,0,0,0,0
