,Consultas,Consultas de Atención Inmediata,Consultantes al Establecimiento,Consultantes Nuevos,Consultantes Asegurados,Médicos,Horas Médicas Programadas,Horas Médicas Efectivas,Consultorios Fisicos,Consultorios Funcionales,Egresos,Estancias,Pacientes dias,Dias cama disponible,Camas hospitalarias,Def. antes 48 hrs,Def. despues 48 hrs,Reingresos,Total I.Q.,Cirugia Mayor de AC,Cirugia Menor de MC,Cirugia Mayor de BC,Cirugia Menor de AR,Cirugia Menor de BR,Horas Uso Sala,Horas Programadas,Salas Quirúrgicas,Operaciones Suspendidas,Intervenciones Q Programadas,Total partos,Partos sin complicación,Partos con complicación,Sala de partos,Cesareas,Nacimientos,Nacidos vivos,Total de atenciones,Prioridad I,Prioridad II,Prioridad III,Prioridad IV,Sesiones Odontológicas,Trabajos Odontológicos,Consultantes de odontología,Odontólogos,Horas odontológicas efecivas,Horas odontológicas programadas,Consultorios fisicos Odontólogi,Consultorios funcional Odontó ,Recetas despachadas,Recetas despachadas C E,Análisis de laboratorio,Análisis de laboratorio C E,Exámenes radiológicos,Exámenes radiológicos C E,Placas radiológicas,Placas radiológicas C E,Mamografias Preventivas,Muestras Porcesas x PAP,3era. Dosis Pentavalente,Primera Consulta Médico Prev,Control de Enfermería,Control de nutrición,Control de Trabajo Social,Educación Grupal de enfermería,Educación Grupal de Nutrución,Educación Grupal Trabajo Social,Educación Grupal de Obstetricia,Psicoprofilaxis de Nutrición,Psicoprofilaxis de Obstetricia,Visitas Domiciliarias de Enferm,Visitas Domiciliarias de Nutric,Visitas Domiciliarias de Obstet,Visitas Domiciliarias de T S,Psicoprofilaxis de Enfermería,Atenciones Psicología,Psicoprofilaxis de Psicología,Visitas Domiciliarias de Psicol
C.A.P.I-ANTABAMBA_per_2017-01,186,,156,8,156,1,58,58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,5,10,0,0,0,0,0,0,0,0,0,391,320,,,,,,,2,10,0,,173,,,8,,,10,,0,8,,10,,,,,
C.A.P.I-ANTABAMBA_per_2017-02,109,,56,3,56,1,66,58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,3,11,0,0,0,0,0,0,0,0,0,199,136,,,,,,,1,11,0,,127,,,10,,,3,,0,6,,14,,,,,
C.A.P.I-ANTABAMBA_per_2017-03,163,,70,5,70,1,81,73,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,0,10,0,0,0,0,0,0,0,0,0,323,281,,,,,,,6,0,0,,0,,,0,,,0,,0,0,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-04,145,,43,3,43,1,80,72,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,2,23,1,0,0,0,0,0,0,0,0,298,273,,,,,,,0,0,2,,79,,,6,,,0,,0,0,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-05,159,,41,7,41,1,84,82,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,1,28,1,81,166,69,1,78,90,1,1,317,249,,,,,,,1,0,0,,64,,,2,,,8,,0,0,,6,,,,,
C.A.P.I-ANTABAMBA_per_2017-06,163,,54,11,54,1,70,70,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,3,20,4,169,356,138,0,68,80,1,1,309,257,,,,,,,0,9,0,,50,,,0,,,6,,0,0,,10,,,,,
C.A.P.I-ANTABAMBA_per_2017-07,219,,66,19,66,1,52,44,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,1,27,4,159,605,108,1,56,56,1,1,419,279,,,,,,,0,11,0,,150,,,2,,,2,,0,3,,21,,,,,
C.A.P.I-ANTABAMBA_per_2017-08,321,,101,49,101,1,64,64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,0,25,7,327,990,169,2,118,122,1,1,403,283,,,,,,,0,1,0,,250,,,4,,,0,,0,3,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-09,344,,48,18,48,1,70,70,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,3,35,0,287,492,64,2,116,116,1,1,512,357,,,,,,,0,0,2,,214,,,5,,,0,,3,6,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-10,368,,45,6,45,1,92,92,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,5,0,296,578,60,2,118,120,1,1,559,507,,,,,,,0,17,1,,246,,,6,,,0,,2,15,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-11,301,,31,1,31,1,72,72,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,311,592,53,2,118,120,1,1,534,466,,,,,,,0,1,2,,209,,,3,,,0,,1,8,,0,,,,,
C.A.P.I-ANTABAMBA_per_2017-12,269,,36,1,36,1,66,54,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,279,466,32,2,102,104,1,1,527,491,,,,,,,1,7,1,,159,,,4,,,0,,0,15,,0,,,,,
C.A.P.I-ASILLO_per_2017-01,339,,302,30,302,1,84,67,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,310,775,155,1,90,104,1,1,748,615,,,,,,,4,14,2,18,318,,,2,,,3,,6,2,,2,,,,,
C.A.P.I-ASILLO_per_2017-02,313,,202,50,202,1,80,62,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,245,620,90,1,80,90,1,1,662,570,,,,,,,2,14,2,12,255,,,3,,,3,,6,2,,2,,,,,
