,Consultas,Consultas de Atención Inmediata,Consultantes al Establecimiento,Consultantes Nuevos,Consultantes Asegurados,Médicos,Horas Médicas Programadas,Horas Médicas Efectivas,Consultorios Fisicos,Consultorios Funcionales,Egresos,Estancias,Pacientes dias,Dias cama disponible,Camas hospitalarias,Def. antes 48 hrs,Def. despues 48 hrs,Reingresos,Total I.Q.,Cirugia Mayor de AC,Cirugia Menor de MC,Cirugia Mayor de BC,Cirugia Menor de AR,Cirugia Menor de BR,Horas Uso Sala,Horas Programadas,Salas Quirúrgicas,Operaciones Suspendidas,Intervenciones Q Programadas,Total partos,Partos sin complicación,Partos con complicación,Sala de partos,Cesareas,Nacimientos,Nacidos vivos,Total de atenciones,Prioridad I,Prioridad II,Prioridad III,Prioridad IV,Sesiones Odontológicas,Trabajos Odontológicos,Consultantes de odontología,Odontólogos,Horas odontológicas efecivas,Horas odontológicas programadas,Consultorios fisicos Odontólogi,Consultorios funcional Odontó ,Recetas despachadas,Recetas despachadas C E,Análisis de laboratorio,Análisis de laboratorio C E,Exámenes radiológicos,Exámenes radiológicos C E,Placas radiológicas,Placas radiológicas C E,Mamografias Preventivas,Muestras Porcesas x PAP,3era. Dosis Pentavalente,Control de Enfermería,Control de nutrición,Control de Trabajo Social,Educación Grupal de enfermería,Educación Grupal de Nutrución,Educación Grupal Trabajo Social,Educación Grupal de Obstetricia,Psicoprofilaxis de Obstetricia,Visitas Domiciliarias de Enferm,Visitas Domiciliarias de Nutric,Visitas Domiciliarias de Obstet,Visitas Domiciliarias de T S,Atenciones Psicología,Psicoprofilaxis de Psicología,Visitas Domiciliarias de Psicol
C.A.P.I-ANTABAMBA_per_2018-01,304,,246,0,246,1,68,64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,143,693,122,1,58,62,1,1,579,509,,,,,,,0,10,0,213,,,3,,,5,3,15,,29,,,,
C.A.P.I-ANTABAMBA_per_2018-02,308,,179,0,179,1,66,66,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,133,589,102,1,46,46,1,1,366,319,,,,,,,0,10,0,169,,,3,,,2,4,10,,22,,,,
C.A.P.I-ANTABAMBA_per_2018-03,233,,80,3,80,1,45,48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,120,354,56,1,44,44,1,1,424,332,,,,,,,0,5,0,163,,,3,,,0,5,15,,22,,,,
C.A.P.I-ANTABAMBA_per_2018-04,240,,80,20,80,1,50,46,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,2,26,2,132,539,70,1,44,44,1,1,539,440,,,,,,,4,2,0,180,,,3,,,0,0,12,,23,,,,
C.A.P.I-ANTABAMBA_per_2018-05,269,,51,18,51,1,52,52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,0,23,5,110,542,56,1,38,38,1,1,400,300,,,,,,,0,3,0,161,,,3,,,8,0,21,,25,,,,
C.A.P.I-ANTABAMBA_per_2018-06,296,,52,26,52,1,60,60,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,4,1,154,674,63,1,60,60,1,1,330,217,,,,,,,0,5,1,238,,,3,,,0,2,12,,26,,,,
C.A.P.I-ANTABAMBA_per_2018-07,628,,155,88,155,1,58,58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,8,6,1,170,468,66,1,54,54,1,1,467,312,,,,,,,0,9,0,242,,,0,,,0,2,18,,24,,,,
C.A.P.I-ANTABAMBA_per_2018-08,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-ANTABAMBA_per_2018-09,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
C.A.P.I-ANTABAMBA_per_2018-10,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,0,,,0,0,0,,0,,,,
